199001200002,1990,1,20,"",0,"",157,12,Australasia & Oceania,Bougainville,Buin,-6.7465,155.685171,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",14,Private Citizens & Property,76,House/Apartment/Residence,"",7 private homes,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Bougainville Revolutionary Army (BRA),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
199001200003,1990,1,20,"",0,"",157,12,Australasia & Oceania,Bougainville,Buin,-6.7465,155.685171,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",3,Police,22,"Police Building (headquarters, station, school)",police,station,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Bougainville Revolutionary Army (BRA),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
199001210002,1990,1,21,"",0,"",157,12,Australasia & Oceania,Bougainville,Arawa,-6.228344,155.565216,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",14,Private Citizens & Property,75,Village/City/Town/Suburb,Govt,Town of Arawa,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Bougainville Revolutionary Army (BRA),"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,8,Incendiary,"","","","","","","","","","",Automatic firearm; Incendiary,0,"","",0,"","",1,3,Minor (likely < $1 million),750000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
199001230015,1990,1,23,"",0,"",157,12,Australasia & Oceania,Bougainville,Kieta,-6.220475,155.63763,1,0,"","",0,1,1,1,2,Other Crime Type,0,1,0,1,Assassination,"","","","",14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,"",2 young men,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,3,Handgun,"","","","","","","","","","","","",Pistol,2,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199001240001,1990,1,24,"",0,"",157,12,Australasia & Oceania,Bougainville,wakunai,-5.874771,155.202988,1,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",6,Airports & Aircraft,42,Aircraft (not at an airport),bougair,brihan norman islander aircraft,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Bougainville Revolutionary Army (BRA),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,3,Minor (likely < $1 million),75000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
199001240003,1990,1,24,"",0,"",157,12,Australasia & Oceania,Bougainville,Toniva,-6.232373,155.650803,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,5,Industrial/Textiles/Factory,"",Rice Warehouse,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Bougainville Revolutionary Army (BRA),"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,16,Unknown Explosive Type,"","","","","","","","",Automatic firearm; Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
199001240006,1990,1,24,"",0,"",157,12,Australasia & Oceania,Bougainville,Panguna,-6.320649,155.476861,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",1,Business,4,Multinational Corporation,Bridgestone Earthmover Tyres Pty. Ltd.,"Michael Wortley and associated.  Wortley born in U.K., lived in Austrailia*",216,Great Britain,1,Business,12,Construction,Bridgestone Earthmovers Tyres Pty. Ltd.,Michael Wortley' associate,157,Papua New Guinea,"","","","","","","","",Bougainville Revolutionary Army (BRA),"","","","","","",0,"","",0,8,"","","","","","","","","","","",5,Firearms,4,Rifle/Shotgun (non-automatic),"","","","","","","","","","","","",Shotgun,1,"","",1,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
199001270001,1990,1,27,"",0,"",157,12,Australasia & Oceania,"",Arawa,-6.228344,155.565216,1,1,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",3,Police,23,Police Patrol (including vehicles and convoys),Police,Vehicle,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,0,"","",3,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199002070006,1990,2,7,"",0,"",157,12,Australasia & Oceania,Bougainville,Panguna,-6.320649,155.476861,1,1,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,"","","","",4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",military,soldier,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,1,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199003010002,1990,3,1,"",0,"",157,12,Australasia & Oceania,Bougainville,Toniva,-6.232373,155.650803,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",3,Police,23,Police Patrol (including vehicles and convoys),Police,Convoy,157,Papua New Guinea,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,4,Rifle/Shotgun (non-automatic),"","","","","","","","","","","","",Rifle,0,"","",2,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
